Training Loss,Epoch,Step,Validation Loss,Mean Iou,Mean Accuracy,Overall Accuracy,Accuracy Background,Accuracy 11,Accuracy 12,Accuracy 13,Accuracy 14,Accuracy 15,Accuracy 16,Accuracy 17,Accuracy 18,Accuracy 21,Accuracy 22,Accuracy 23,Accuracy 24,Accuracy 25,Accuracy 26,Accuracy 27,Accuracy 28,Accuracy 31,Accuracy 32,Accuracy 33,Accuracy 34,Accuracy 35,Accuracy 36,Accuracy 37,Accuracy 38,Accuracy 41,Accuracy 42,Accuracy 43,Accuracy 44,Accuracy 45,Accuracy 46,Accuracy 47,Accuracy 48,Iou Background,Iou 11,Iou 12,Iou 13,Iou 14,Iou 15,Iou 16,Iou 17,Iou 18,Iou 21,Iou 22,Iou 23,Iou 24,Iou 25,Iou 26,Iou 27,Iou 28,Iou 31,Iou 32,Iou 33,Iou 34,Iou 35,Iou 36,Iou 37,Iou 38,Iou 41,Iou 42,Iou 43,Iou 44,Iou 45,Iou 46,Iou 47,Iou 48
0.5295,2,20,0.5705,0.3693,0.4864,0.5102,nan,0.666,0.6025,0.2256,0.2383,0.5293,0.4207,0.8846,0.3753,0.8182,0.3237,0.6232,0.2812,0.6399,0.6618,0.6764,0.4635,0.0252,0.3484,0.1957,0.6712,0.3682,0.3457,0.6796,0.7324,0.2603,0.5354,0.2797,0.6598,0.0292,0.7681,0.6539,0.5822,0,0.6233,0.5033,0.2242,0.165,0.3338,0.373,0.5244,0.347,0.5854,0.2774,0.5507,0.2598,0.4486,0.5669,0.5058,0.3429,0.0247,0.278,0.1927,0.4048,0.3107,0.3272,0.5458,0.4902,0.2167,0.3776,0.2742,0.4256,0.0291,0.5509,0.5637,0.5439
0.2448,4,40,0.2991,0.5887,0.6953,0.7136,nan,0.6811,0.806,0.6679,0.5066,0.5235,0.8112,0.8741,0.5758,0.7111,0.8458,0.8566,0.6791,0.5988,0.7784,0.8809,0.5861,0.4017,0.7194,0.8446,0.7975,0.5886,0.7339,0.7606,0.8302,0.2926,0.6158,0.8172,0.7268,0.3603,0.8592,0.7385,0.7803,0,0.6306,0.6644,0.5509,0.4412,0.5059,0.7433,0.7108,0.5484,0.6477,0.6935,0.7728,0.6081,0.5821,0.697,0.677,0.5408,0.3449,0.618,0.7532,0.629,0.5287,0.6391,0.6762,0.6395,0.2749,0.5694,0.7175,0.5336,0.3533,0.7319,0.6852,0.7184
0.1891,6,60,0.248,0.7099,0.8102,0.8185,nan,0.832,0.9361,0.822,0.7888,0.7881,0.8815,0.8476,0.8525,0.8728,0.8866,0.906,0.778,0.7926,0.9079,0.7921,0.5081,0.6305,0.7426,0.8681,0.8267,0.8639,0.7897,0.6826,0.6853,0.7353,0.7977,0.8988,0.8911,0.8424,0.9268,0.8326,0.7209,0,0.8101,0.8389,0.7631,0.6989,0.7235,0.8345,0.7815,0.7432,0.8202,0.8176,0.8648,0.7239,0.7078,0.8062,0.6658,0.4883,0.5829,0.6593,0.7545,0.7036,0.7009,0.6213,0.6178,0.628,0.64,0.7144,0.8263,0.8214,0.7718,0.8335,0.7831,0.6782
0.142,8,80,0.222,0.7432,0.829,0.8375,nan,0.9272,0.8416,0.8423,0.8357,0.7614,0.8858,0.8784,0.8098,0.9096,0.8187,0.8913,0.7204,0.7897,0.8756,0.8605,0.698,0.7977,0.804,0.8678,0.809,0.7701,0.7388,0.8419,0.8132,0.7318,0.7826,0.8803,0.9248,0.8227,0.89,0.8975,0.8089,0,0.8748,0.8211,0.793,0.7188,0.7259,0.848,0.8219,0.7368,0.8616,0.7868,0.7992,0.6656,0.7269,0.829,0.7662,0.6363,0.6997,0.7582,0.8056,0.7267,0.6949,0.6861,0.7484,0.7006,0.6503,0.7239,0.8544,0.8405,0.78,0.8426,0.8356,0.7672
0.121,10,100,0.2229,0.7219,0.7949,0.7996,nan,0.7987,0.8738,0.8396,0.7012,0.7517,0.8736,0.7947,0.8365,0.8319,0.8346,0.865,0.7732,0.7295,0.818,0.8016,0.783,0.6058,0.8049,0.8945,0.773,0.8184,0.6879,0.7544,0.7472,0.6037,0.7619,0.94,0.8392,0.8324,0.8749,0.8056,0.7851,0,0.7801,0.8427,0.7809,0.6545,0.7184,0.8377,0.7586,0.7293,0.8007,0.799,0.8413,0.7363,0.7027,0.7892,0.737,0.6711,0.5739,0.7524,0.8226,0.7303,0.7276,0.6424,0.6832,0.619,0.57,0.7082,0.8757,0.8183,0.7874,0.819,0.777,0.7371
0.1185,12,120,0.2124,0.7726,0.856,0.8617,nan,0.9244,0.8476,0.8843,0.8211,0.7873,0.9101,0.8945,0.777,0.9099,0.8908,0.8923,0.8549,0.8313,0.9166,0.8718,0.7914,0.8664,0.7936,0.9086,0.8484,0.8911,0.7393,0.8146,0.7671,0.8538,0.7941,0.9114,0.9369,0.8692,0.9277,0.8842,0.7797,0,0.8889,0.8364,0.8157,0.7346,0.7556,0.87,0.8234,0.7258,0.8729,0.8551,0.8692,0.8038,0.7924,0.8645,0.7992,0.726,0.7349,0.7521,0.8554,0.8018,0.7713,0.6854,0.7229,0.6504,0.7104,0.7423,0.8811,0.8699,0.8211,0.8767,0.8384,0.7491
0.0984,14,140,0.2208,0.7739,0.8595,0.8657,nan,0.949,0.9128,0.8962,0.8253,0.7539,0.9246,0.8984,0.7897,0.938,0.8858,0.931,0.8379,0.8476,0.8976,0.8709,0.7775,0.832,0.9091,0.9362,0.8658,0.8439,0.7374,0.8277,0.7055,0.8392,0.7942,0.9274,0.8978,0.8859,0.8739,0.8988,0.7922,0,0.8966,0.8839,0.8211,0.7391,0.7373,0.8769,0.8327,0.7373,0.8915,0.8625,0.8795,0.8062,0.8118,0.8549,0.7907,0.7095,0.7545,0.828,0.8582,0.7878,0.7498,0.6809,0.7324,0.6174,0.7036,0.7396,0.8579,0.8322,0.8226,0.8422,0.8457,0.7535
0.088,16,160,0.2129,0.7686,0.8462,0.8502,nan,0.9346,0.8467,0.8415,0.8378,0.816,0.8905,0.8795,0.8289,0.8865,0.8806,0.9255,0.8313,0.811,0.876,0.8472,0.8466,0.8202,0.8588,0.9264,0.8303,0.8335,0.7681,0.8038,0.7277,0.8325,0.7468,0.8744,0.8729,0.8475,0.8817,0.868,0.806,0,0.8923,0.844,0.8088,0.7697,0.7788,0.8573,0.819,0.7535,0.867,0.849,0.8891,0.7988,0.785,0.8476,0.7862,0.7413,0.7456,0.8052,0.8576,0.7759,0.7561,0.7047,0.7156,0.6153,0.7042,0.7041,0.8316,0.8227,0.8079,0.84,0.829,0.7597
0.0867,18,180,0.2135,0.7713,0.8472,0.8513,nan,0.8976,0.863,0.843,0.8027,0.78,0.8807,0.8798,0.8298,0.8762,0.885,0.8698,0.7907,0.835,0.8868,0.8142,0.8123,0.7537,0.8421,0.9114,0.8385,0.8537,0.7938,0.8031,0.7704,0.8517,0.7914,0.8984,0.9016,0.8803,0.9359,0.8737,0.8647,0,0.8601,0.8569,0.8097,0.7483,0.763,0.8494,0.8084,0.7476,0.8491,0.8444,0.849,0.7692,0.7966,0.8516,0.7566,0.7031,0.7109,0.7882,0.8524,0.7956,0.7754,0.7258,0.7148,0.6465,0.7368,0.754,0.8725,0.8733,0.8332,0.8767,0.8402,0.794
0.0894,20,200,0.2127,0.7848,0.8595,0.866,nan,0.9027,0.9233,0.8937,0.8657,0.8329,0.9024,0.8788,0.7408,0.9053,0.8992,0.9131,0.8451,0.8353,0.8931,0.887,0.7644,0.7776,0.8718,0.8944,0.8819,0.8443,0.7502,0.8499,0.7419,0.8036,0.871,0.9102,0.9206,0.9158,0.9058,0.8852,0.798,0,0.8926,0.9122,0.847,0.7874,0.7979,0.8683,0.81,0.6966,0.8799,0.8664,0.8753,0.8138,0.8139,0.8582,0.8043,0.7029,0.7202,0.8062,0.8461,0.8052,0.7707,0.6992,0.7472,0.6505,0.7243,0.8021,0.8812,0.8814,0.8545,0.8682,0.8413,0.772
