Training Loss,Epoch,Step,Validation Loss,Mean Iou,Mean Accuracy,Overall Accuracy,Accuracy Background,Accuracy 11,Accuracy 12,Accuracy 13,Accuracy 14,Accuracy 15,Accuracy 16,Accuracy 17,Accuracy 18,Accuracy 21,Accuracy 22,Accuracy 23,Accuracy 24,Accuracy 25,Accuracy 26,Accuracy 27,Accuracy 28,Accuracy 31,Accuracy 32,Accuracy 33,Accuracy 34,Accuracy 35,Accuracy 36,Accuracy 37,Accuracy 38,Accuracy 41,Accuracy 42,Accuracy 43,Accuracy 44,Accuracy 45,Accuracy 46,Accuracy 47,Accuracy 48,Iou Background,Iou 11,Iou 12,Iou 13,Iou 14,Iou 15,Iou 16,Iou 17,Iou 18,Iou 21,Iou 22,Iou 23,Iou 24,Iou 25,Iou 26,Iou 27,Iou 28,Iou 31,Iou 32,Iou 33,Iou 34,Iou 35,Iou 36,Iou 37,Iou 38,Iou 41,Iou 42,Iou 43,Iou 44,Iou 45,Iou 46,Iou 47,Iou 48
1.5068,2,20,1.5257,0.0331,0.0872,0.1082,nan,0,0,0.0325,0,0,0.3861,0.7782,0,0.5551,0,0.0003,0,0,0.0025,0.5879,0,0,0,0,0,0,0.1233,0.1058,0,0,0,0.0001,0,0,0,0.22,0,0,0,0,0.0298,0,0,0.2256,0.2666,0,0.0733,0,0.0003,0,0,0.0025,0.1063,0,0,0,0,0,0,0.0983,0.0956,0,0,0,0.0001,0,0,0,0.193,0
0.6989,4,40,0.6959,0.0319,0.0406,0.0525,nan,0.0032,0,0,0,0,0.1235,0.5046,0,0.0025,0,0.0023,0,0,0.0821,0.2861,0,0,0,0,0,0,0,0.0411,0,0,0,0,0,0,0,0.2543,0,0,0.0032,0,0,0,0,0.1124,0.3456,0,0.0024,0,0.0023,0,0,0.0706,0.2383,0,0,0,0,0,0,0,0.0395,0,0,0,0,0,0,0,0.2387,0
0.5093,6,60,0.4954,0.1659,0.2494,0.3064,nan,0.4165,0,0.5606,0.2388,0.2757,0.7236,0.7757,0,0.6343,0,0.5877,0.0009,0.0374,0.7495,0.7771,0,0,0,0,0.0323,0,0.0006,0.8019,0,0,0,0,0.0436,0,0.0556,0.7505,0.5182,0,0.2822,0,0.3631,0.2026,0.2067,0.4694,0.525,0,0.362,0,0.4125,0.0009,0.0358,0.4261,0.5167,0,0,0,0,0.0299,0,0.0006,0.5306,0,0,0,0,0.0423,0,0.0555,0.5479,0.4643
0.3942,8,80,0.368,0.3501,0.4658,0.5243,nan,0.5738,0.1433,0.7262,0.5454,0.583,0.79,0.8112,0.0005,0.7442,0.0533,0.8308,0.3071,0.5064,0.8316,0.7153,0,0,0.0743,0.6079,0.4475,0.1634,0.6588,0.759,0.2711,0,0.3319,0.4395,0.643,0.2279,0.7393,0.6828,0.6962,0,0.4491,0.1389,0.526,0.4596,0.5023,0.6223,0.5467,0.0005,0.5418,0.0531,0.5015,0.2715,0.4175,0.6065,0.4828,0,0,0.0713,0.323,0.3481,0.1586,0.5433,0.574,0.2533,0,0.2423,0.3966,0.428,0.22,0.6234,0.6177,0.6324
0.2784,10,100,0.2889,0.4636,0.5684,0.6056,nan,0.7515,0.3831,0.6687,0.4978,0.5445,0.7171,0.8213,0.3704,0.8125,0.4238,0.7137,0.3553,0.3746,0.6771,0.7124,0.3304,0.2737,0.3675,0.6784,0.5418,0.5543,0.6343,0.7606,0.5879,0.0628,0.4605,0.6789,0.6545,0.4182,0.8261,0.8022,0.7318,0,0.5755,0.3346,0.524,0.4448,0.5151,0.6337,0.6315,0.3573,0.5967,0.3743,0.5367,0.286,0.3354,0.6064,0.5735,0.313,0.2389,0.3153,0.537,0.4762,0.474,0.5568,0.6436,0.4934,0.0622,0.3368,0.5307,0.4908,0.4042,0.7224,0.7127,0.6656
0.2464,12,120,0.2468,0.54,0.6505,0.6768,nan,0.7948,0.5458,0.7406,0.5603,0.656,0.8367,0.8329,0.4258,0.8497,0.5678,0.732,0.5367,0.6036,0.7622,0.7365,0.5251,0.4648,0.6275,0.7353,0.5512,0.6709,0.6991,0.7896,0.6117,0.2989,0.5592,0.6312,0.5789,0.6009,0.8589,0.7659,0.6656,0,0.6477,0.4822,0.585,0.4886,0.6094,0.7392,0.6728,0.4202,0.6684,0.4945,0.6069,0.4492,0.4973,0.6686,0.6208,0.4915,0.3555,0.4906,0.5972,0.4926,0.576,0.6233,0.6776,0.5277,0.265,0.4418,0.5141,0.4982,0.5567,0.7441,0.6964,0.6216
0.1842,14,140,0.2142,0.6089,0.7198,0.7422,nan,0.7984,0.6803,0.7803,0.6313,0.7672,0.8662,0.8918,0.6084,0.8619,0.7294,0.8191,0.6076,0.7007,0.8122,0.8322,0.3832,0.5565,0.6651,0.8472,0.7226,0.7371,0.775,0.7743,0.5362,0.542,0.64,0.7419,0.732,0.6402,0.8401,0.8309,0.6816,0,0.7143,0.6368,0.7007,0.5825,0.6365,0.7816,0.7521,0.5826,0.7414,0.6622,0.7151,0.5453,0.5588,0.7077,0.6385,0.3652,0.4556,0.5434,0.7138,0.6374,0.6336,0.6464,0.658,0.4844,0.4542,0.5349,0.6565,0.6279,0.5893,0.7605,0.733,0.6423
0.1488,16,160,0.1933,0.6322,0.7373,0.7542,nan,0.7908,0.6508,0.7861,0.7352,0.7521,0.8892,0.8725,0.6348,0.8581,0.6927,0.807,0.6642,0.7642,0.8278,0.8363,0.5789,0.6088,0.6556,0.8139,0.6966,0.6829,0.7853,0.7453,0.6678,0.5757,0.6036,0.7537,0.7381,0.7114,0.8446,0.8103,0.7584,0,0.699,0.6113,0.7069,0.6612,0.7097,0.7968,0.7383,0.6079,0.7618,0.6629,0.7209,0.5896,0.6152,0.7371,0.6847,0.5395,0.513,0.5606,0.6936,0.6153,0.5981,0.6347,0.6535,0.5868,0.4842,0.5324,0.6701,0.641,0.6346,0.7595,0.7362,0.7052
0.1416,18,180,0.1841,0.6533,0.753,0.7611,nan,0.8485,0.7657,0.8163,0.6475,0.6706,0.7889,0.8295,0.8478,0.832,0.7455,0.7939,0.5882,0.6691,0.7761,0.7446,0.7167,0.5879,0.6785,0.7867,0.7367,0.7456,0.7522,0.7657,0.7979,0.6336,0.7404,0.8204,0.7517,0.6922,0.842,0.847,0.8352,0,0.7802,0.7301,0.7232,0.6005,0.638,0.7526,0.7347,0.6939,0.7603,0.6879,0.6913,0.5221,0.5773,0.7374,0.6773,0.6223,0.5234,0.5861,0.7062,0.6492,0.6365,0.6644,0.685,0.6211,0.5522,0.6502,0.7557,0.686,0.6374,0.7636,0.7728,0.7395
0.1346,20,200,0.1742,0.6462,0.7375,0.7528,nan,0.8037,0.7862,0.7855,0.7327,0.7617,0.8752,0.8049,0.5045,0.8113,0.742,0.8055,0.5818,0.6962,0.7828,0.8136,0.5866,0.5741,0.71,0.8119,0.7525,0.6603,0.7224,0.8027,0.6645,0.623,0.7702,0.8144,0.6772,0.7818,0.8084,0.8461,0.7052,0,0.7651,0.7384,0.7206,0.679,0.7135,0.7803,0.6876,0.4954,0.7515,0.6922,0.7354,0.5483,0.605,0.7345,0.6809,0.5512,0.5261,0.6238,0.7292,0.6495,0.5871,0.6396,0.7011,0.5818,0.5478,0.6583,0.7103,0.6303,0.6758,0.7516,0.7592,0.6734
